category,accuracy
Art,0.8182268449727588
Comics,0.8767890479153703
Crafts,0.7802197802197802
Dance,0.7171903881700554
Design,0.8
Fashion,0.8307101727447217
Film & Video,0.8521082441787288
Food,0.8260246488965319
Games,0.8794284013099136
Journalism,0.8227979274611399
Music,0.8407465007776049
None,0.9583333333333334
Photography,0.7958050586057989
Publishing,0.8126984126984127
Technology,0.8478624313350848
Theater,0.7390700902151284
