,Random Forest,XGBoost,Logistic Regression
accuracy,0.8287765528367841,0.8373810164022586,0.7416617370260823
precision,0.8511099590933042,0.8663573290440587,0.7643147596384952
recall,0.8776912307573882,0.8726315245275543,0.8440838253541314
f1,0.8641947799400495,0.8694768277197508,0.8022206580795098
