number,value,datetime_start,datetime_complete,duration,params_C,params_penalty,state
37,0.8041192708751043,2025-11-15 16:28:25.368844,2025-11-15 16:29:36.136282,0 days 00:01:10.767438,0.21692088782308183,l1,COMPLETE
38,0.8040611604387806,2025-11-15 16:29:36.137648,2025-11-15 16:30:16.873077,0 days 00:00:40.735429,11.014955241269627,l1,COMPLETE
39,0.8039895119340817,2025-11-15 16:30:16.874449,2025-11-15 16:30:51.064400,0 days 00:00:34.189951,3.429537117656205,l2,COMPLETE
40,0.804048944665362,2025-11-15 16:30:51.065852,2025-11-15 16:31:29.374498,0 days 00:00:38.308646,0.10689027185085612,l1,COMPLETE
41,0.8041868371518321,2025-11-15 16:31:29.375827,2025-11-15 16:33:10.106731,0 days 00:01:40.730904,0.4502861094103402,l1,COMPLETE
42,0.8040978021241123,2025-11-15 16:33:10.108081,2025-11-15 16:34:54.043124,0 days 00:01:43.935043,1.0734874453585648,l1,COMPLETE
43,0.8041509175959781,2025-11-15 16:34:54.044330,2025-11-15 16:46:03.309335,0 days 00:11:09.265005,0.37949157320283755,l1,COMPLETE
44,0.8041234728917095,2025-11-15 16:46:03.310833,2025-11-15 16:48:29.926007,0 days 00:02:26.615174,1.939194494663784,l1,COMPLETE
45,0.8026115518482897,2025-11-15 16:48:29.928541,2025-11-15 16:48:47.504999,0 days 00:00:17.576458,0.03908340790375344,l1,COMPLETE
46,0.8041302954657402,2025-11-15 16:48:47.506471,2025-11-15 16:49:43.476890,0 days 00:00:55.970419,0.19125137981113388,l1,COMPLETE
47,0.8042505633259674,2025-11-15 16:49:43.478148,2025-11-15 16:50:27.415567,0 days 00:00:43.937419,5.809841990405055,l2,COMPLETE
48,0.8041708855043395,2025-11-15 16:50:27.417037,2025-11-15 16:51:21.353966,0 days 00:00:53.936929,35.99637092292645,l2,COMPLETE
49,0.8042921221317878,2025-11-15 16:51:21.355527,2025-11-15 16:52:04.784950,0 days 00:00:43.429423,5.950374724789477,l2,COMPLETE
